;index;Animal ID;Name;DateTime;Date of Birth;Outcome Type;Outcome Subtype;Animal Type;Sex upon Outcome;Age upon Outcome;Breed;Color
0;0;A794011;Chunk;05/08/2019 06:20:00 PM;05/02/2017;Rto-Adopt;;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Brown Tabby/White
1;2;A821648;;08/16/2020 11:38:00 AM;08/16/2019;Euthanasia;;Other;Unknown;1 year;Raccoon;Gray
2;5;A659412;Princess;10/05/2020 02:37:00 PM;03/24/2013;Adoption;;Dog;Spayed Female;7 years;Chihuahua Shorthair Mix;Brown
3;6;A814515;Quentin;05/06/2020 07:59:00 AM;03/01/2018;Adoption;Foster;Dog;Neutered Male;2 years;American Foxhound/Labrador Retriever;White/Brown
4;12;A803149;*Birch;08/31/2019 04:26:00 PM;08/08/2019;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair;Brown Tabby
5;22;A801106;;08/16/2019 02:05:00 PM;05/06/2019;Adoption;;Cat;Neutered Male;3 months;Domestic Shorthair;Orange Tabby
6;24;A812473;Theodore Nubbins;03/05/2020 04:15:00 PM;01/26/2010;Adoption;Foster;Dog;Neutered Male;10 years;Chihuahua Shorthair;Brown
7;27;A789298;*Mr Wrinkles;04/23/2019 11:59:00 AM;02/15/2019;Adoption;Foster;Dog;Neutered Male;2 months;Labrador Retriever Mix;Brown/White
8;37;A805930;*Rachel;11/08/2019 06:37:00 PM;09/11/2019;Adoption;Foster;Dog;Spayed Female;1 month;Border Collie Mix;Chocolate/White
9;40;A806497;*Moo;12/17/2019 05:59:00 PM;06/02/2019;Adoption;;Other;Spayed Female;6 months;Polish;White/White
10;43;A813785;Snout;02/26/2020 07:45:00 PM;02/18/2019;Rto-Adopt;;Dog;Neutered Male;1 year;Doberman Pinsch;Black/Brown
11;44;A810161;Lizzie;12/19/2019 03:54:00 PM;10/15/2019;Adoption;;Dog;Spayed Female;2 months;Australian Cattle Dog;Blue Tick/Black
12;45;A791163;;03/24/2019 08:22:00 AM;02/22/2019;Died;In Kennel;Cat;Unknown;4 weeks;Domestic Shorthair Mix;Black/White
13;46;A777234;Tyson;01/02/2019 12:00:00 AM;11/25/2017;Transfer;Partner;Dog;Neutered Male;1 year;Pit Bull Mix;Blue/White
14;49;A792258;Vesper;04/10/2019 08:53:00 PM;09/08/2016;Adoption;;Cat;Spayed Female;2 years;Domestic Shorthair Mix;Tortie
15;50;A802723;*Linguine;09/20/2019 06:27:00 PM;07/09/2019;Adoption;Foster;Dog;Spayed Female;2 months;Miniature Poodle Mix;Tan
16;57;A817863;*Beef;06/04/2020 02:45:00 PM;05/27/2018;Adoption;;Dog;Neutered Male;2 years;American Bulldog;Brown Brindle/White
17;58;A767796;*Koko;06/20/2019 02:18:00 PM;12/06/2017;Transfer;Partner;Dog;Spayed Female;1 year;American Pit Bull Terrier Mix;Brown/White
18;60;A805948;Blue;10/04/2019 11:25:00 AM;10/04/2017;Return to Owner;;Dog;Intact Male;2 years;Siberian Husky;Black/Gray
