Punxsutawney Phil,Early Spring
No Shadow,1
Full Shadow,0
No Shadow,1
No Shadow,1
Full Shadow,1
No Shadow,1
No Shadow,0
No Shadow,1
Full Shadow,1
Full Shadow,0
No Shadow,1
Full Shadow,0
No Shadow,1
No Shadow,1
Full Shadow,1
Full Shadow,0
Full Shadow,0
Full Shadow,1
No Shadow,1
Full Shadow,0
Full Shadow,1
Full Shadow,1
No Shadow,0
Full Shadow,1
Full Shadow,1
No Shadow,0
Full Shadow,0
No Shadow,0
No Shadow,0
No Shadow,1
Full Shadow,0
Full Shadow,0
Full Shadow,0
Full Shadow,0
Full Shadow,1
Full Shadow,1
No Shadow,1
Full Shadow,0
No Shadow,0
No Shadow,0
Full Shadow,0
No Shadow,0
Full Shadow,0
Full Shadow,1
No Shadow,1
Full Shadow,0
No Shadow,1
No Shadow,0
No Shadow,0
No Shadow,0
Full Shadow,0
No Shadow,0
No Shadow,0
No Shadow,1
Full Shadow,0
Full Shadow,0
Full Shadow,1
Full Shadow,0
Full Shadow,0
No Shadow,0
No Shadow,0
No Shadow,1
No Shadow,1
Full Shadow,0
Full Shadow,1
Full Shadow,1
Full Shadow,1
No Shadow,0
Full Shadow,0
No Shadow,0
No Shadow,1
Full Shadow,1
Full Shadow,1
No Shadow,0
Full Shadow,0
No Shadow,1
Full Shadow,1
No Shadow,1
No Shadow,1
Full Shadow,0
No Shadow,0
Full Shadow,0
No Shadow,0
Full Shadow,1
Full Shadow,1
No Shadow,1
Full Shadow,1
No Shadow,1
Full Shadow,0
Full Shadow,0
No Shadow,0
No Shadow,1
Full Shadow,1
Full Shadow,1
Full Shadow,0
Full Shadow,0
Full Shadow,0
Full Shadow,0
No Shadow,1
Full Shadow,0
Full Shadow,0
No Shadow,1
Full Shadow,1
Full Shadow,0
No Shadow,0
Full Shadow,1
Full Shadow,0
Full Shadow,0
Full Shadow,1
No Shadow,0
No Shadow,1
No Shadow,0
Full Shadow,0
No Shadow,1
No Shadow,1
