Animal ID;Name;DateTime;Found Location;Intake Type;Intake Condition;Animal Type;Sex upon Intake;Age upon Intake;Breed;Color
A786884;*Brock;01/03/2019 04:19:00 PM;2501 Magin Meadow Dr in Austin (TX);Stray;Normal;Dog;Neutered Male;2 years;Beagle Mix;Tricolor
A635072;Beowulf;04/16/2019 09:53:00 AM;415 East Mary Street in Austin (TX);Public Assist;Normal;Dog;Neutered Male;6 years;Great Dane Mix;Black
A818975;;06/18/2020 02:53:00 PM;Braker Lane And Metric in Travis (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Cream Tabby
A790209;Ziggy;03/06/2019 02:31:00 PM;4424 S Mopac Expwy in Austin (TX);Public Assist;Normal;Cat;Intact Female;4 years;Domestic Shorthair Mix;Brown Tabby/White
A754715;Rheia;07/29/2019 05:19:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;2 years;Labrador Retriever Mix;Black/White
A810994;;12/25/2019 12:05:00 AM;7900 Rm 1826 Rd in Travis (TX);Wildlife;Normal;Other;Unknown;2 years;Bat;Brown
A803723;;09/05/2019 12:00:00 PM;10508 Twilight Vista in Austin (TX);Stray;Normal;Cat;Unknown;6 months;Domestic Shorthair;Black/White
A794334;Pearl;09/02/2019 11:52:00 AM;Outside Jurisdiction;Owner Surrender;Sick;Dog;Spayed Female;3 years;Boxer Mix;White
A789526;Sixlet;02/23/2019 11:22:00 AM;2504 Stratford Drive in Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair Mix;Black
A821389;*Dim Sum;08/10/2020 02:10:00 PM;7800 San Felipe Boulevard in Austin (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Brown Tabby
A812244;;01/18/2020 02:14:00 PM;Travis (TX);Owner Surrender;Normal;Dog;Intact Male;1 month;Labrador Retriever;Tan
A772747;Lamar;01/07/2019 01:41:00 PM;Thaxton And Sassman in Austin (TX);Stray;Normal;Dog;Neutered Male;1 year;Pit Bull/Australian Cattle Dog;White
A810820;;12/21/2019 11:09:00 AM;20209 Grover Cleaveland Way in Manor (TX);Stray;Normal;Dog;Spayed Female;7 years;Yorkshire Terrier;Black/Gray
A793043;;04/18/2019 04:06:00 PM;127 West Anderson Lane in Austin (TX);Stray;Normal;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Brown Tabby
A813757;;02/18/2020 12:26:00 PM;Colonial Park And Weidemar in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;German Shepherd/Australian Cattle Dog;Black/Tricolor
A793707;Severus;04/28/2019 04:54:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Spayed Female;1 year;Domestic Shorthair Mix;White/Black
A760116;Jasmine;01/07/2019 12:07:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;7 years;German Shepherd;Brown/Black
A800456;Samson;07/21/2019 02:19:00 PM;14229 Gilford Drive in Travis (TX);Stray;Normal;Dog;Neutered Male;1 year;Great Dane;Black/Brown Brindle
A803768;Kylo;11/15/2019 06:35:00 PM;Travis (TX);Owner Surrender;Normal;Dog;Neutered Male;1 year;Alaskan Husky;Brown
A791540;*Milkbone;03/27/2019 11:36:00 AM;Martin Luther King Boulevard E And Sendero Hills Parkway in Austin (TX);Stray;Normal;Dog;Spayed Female;1 year;Pit Bull Mix;White/Black
A791850;;04/02/2019 07:16:00 AM;4434 Frontier Trail in Austin (TX);Stray;Injured;Cat;Intact Female;2 years;Domestic Shorthair Mix;Brown Tabby
A804055;;11/03/2019 04:14:00 PM;6400 Huntleigh Way in Austin (TX);Stray;Injured;Cat;Spayed Female;9 months;Domestic Shorthair;Calico
A795850;Kai;05/25/2019 12:14:00 PM;4806 Lyons Road in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair Mix;Brown Tabby/White
A800717;;07/25/2019 01:49:00 PM;11900 Green Crove in Austin (TX);Stray;Nursing;Cat;Intact Female;1 week;Domestic Shorthair;Blue/White
A789406;Liliana;02/21/2019 02:55:00 PM;Austin (TX);Public Assist;Normal;Cat;Intact Female;3 years;Domestic Shorthair Mix;Brown Tabby
A816185;;04/09/2020 07:49:00 AM;1830 W Rundberg in Austin (TX);Stray;Normal;Cat;Intact Male;1 week;Domestic Shorthair;Gray Tabby
A787448;Watermelon;04/01/2019 11:30:00 AM;12900 Dessau in Travis (TX);Stray;Normal;Dog;Intact Female;3 years;Labrador Retriever Mix;Brown Tiger/White
A793946;;05/02/2019 08:21:00 AM;Astro View / Moonglow in Austin (TX);Stray;Nursing;Cat;Intact Female;2 weeks;Domestic Shorthair Mix;Blue Tabby
A818382;Cookie;06/08/2020 08:35:00 AM;4434 Frontier Trail in Austin (TX);Owner Surrender;Sick;Dog;Intact Male;1 month;Boxer;Brown/Black
