Animal ID;Name;DateTime;Date of Birth;Outcome Type;Outcome Subtype;Animal Type;Sex upon Outcome;Age upon Outcome;Breed;Color
A794011;Chunk;05/08/2019 06:20:00 PM;05/02/2017;Rto-Adopt;;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Brown Tabby/White
A821648;;08/16/2020 11:38:00 AM;08/16/2019;Euthanasia;;Other;Unknown;1 year;Raccoon;Gray
A659412;Princess;10/05/2020 02:37:00 PM;03/24/2013;Adoption;;Dog;Spayed Female;7 years;Chihuahua Shorthair Mix;Brown
A814515;Quentin;05/06/2020 07:59:00 AM;03/01/2018;Adoption;Foster;Dog;Neutered Male;2 years;American Foxhound/Labrador Retriever;White/Brown
A803149;*Birch;08/31/2019 04:26:00 PM;08/08/2019;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair;Brown Tabby
A801106;;08/16/2019 02:05:00 PM;05/06/2019;Adoption;;Cat;Neutered Male;3 months;Domestic Shorthair;Orange Tabby
A812473;Theodore Nubbins;03/05/2020 04:15:00 PM;01/26/2010;Adoption;Foster;Dog;Neutered Male;10 years;Chihuahua Shorthair;Brown
A789298;*Mr Wrinkles;04/23/2019 11:59:00 AM;02/15/2019;Adoption;Foster;Dog;Neutered Male;2 months;Labrador Retriever Mix;Brown/White
A805930;*Rachel;11/08/2019 06:37:00 PM;09/11/2019;Adoption;Foster;Dog;Spayed Female;1 month;Border Collie Mix;Chocolate/White
A806497;*Moo;12/17/2019 05:59:00 PM;06/02/2019;Adoption;;Other;Spayed Female;6 months;Polish;White/White
A791163;;03/24/2019 08:22:00 AM;02/22/2019;Died;In Kennel;Cat;Unknown;4 weeks;Domestic Shorthair Mix;Black/White
A792258;Vesper;04/10/2019 08:53:00 PM;09/08/2016;Adoption;;Cat;Spayed Female;2 years;Domestic Shorthair Mix;Tortie
A802723;*Linguine;09/20/2019 06:27:00 PM;07/09/2019;Adoption;Foster;Dog;Spayed Female;2 months;Miniature Poodle Mix;Tan
A817863;*Beef;06/04/2020 02:45:00 PM;05/27/2018;Adoption;;Dog;Neutered Male;2 years;American Bulldog;Brown Brindle/White
A767796;*Koko;06/20/2019 02:18:00 PM;12/06/2017;Transfer;Partner;Dog;Spayed Female;1 year;American Pit Bull Terrier Mix;Brown/White
A805948;Blue;10/04/2019 11:25:00 AM;10/04/2017;Return to Owner;;Dog;Intact Male;2 years;Siberian Husky;Black/Gray
A795325;;05/21/2019 05:10:00 PM;03/19/2019;Adoption;;Dog;Spayed Female;2 months;Labrador Retriever;Black
A791702;Cooper;04/04/2019 04:13:00 PM;01/20/2019;Adoption;;Dog;Neutered Male;2 months;Labrador Retriever Mix;Brown/White
A790321;Prince;03/10/2019 05:37:00 PM;03/10/2010;Return to Owner;;Dog;Intact Male;9 years;Miniature Schnauzer Mix;Black
A799580;*Roger Rabbit;08/19/2019 07:09:00 PM;05/10/2019;Adoption;;Cat;Neutered Male;3 months;Domestic Shorthair;Blue Tabby/White
A807106;Wendell;07/23/2020 05:46:00 PM;03/20/2019;Adoption;;Dog;Neutered Male;1 year;Standard Poodle;Silver
A808862;Big Papi;11/18/2019 12:23:00 PM;11/14/2018;Transfer;Partner;Dog;Intact Male;1 year;Miniature Poodle Mix;Apricot
A819227;Agou;06/30/2020 06:52:00 PM;06/24/2018;Rto-Adopt;;Dog;Spayed Female;2 years;Great Pyrenees;White
A805622;Sadie;12/05/2019 12:02:00 PM;03/29/2018;Adoption;;Dog;Spayed Female;1 year;German Shepherd Mix;Black/Tan
A824550;;10/16/2020 02:11:00 PM;09/16/2020;Transfer;Partner;Cat;Intact Male;4 weeks;Domestic Shorthair;Blue
A791899;;04/05/2019 07:36:00 PM;04/02/2018;Transfer;Snr;Cat;Intact Female;1 year;Siamese Mix;Tortie Point
A808447;Elle;12/04/2019 02:45:00 PM;05/08/2019;Adoption;;Dog;Intact Female;6 months;Labrador Retriever;Black
A767252;Amy;03/04/2019 07:15:00 PM;01/26/2010;Return to Owner;;Dog;Spayed Female;9 years;Chihuahua Shorthair Mix;Tricolor/White
A805553;;10/01/2019 05:17:00 PM;05/28/2019;Adoption;;Dog;Spayed Female;4 months;Beagle/Dachshund;Black/Tricolor
A810834;Amigo;01/14/2020 01:54:00 PM;12/21/2017;Transfer;Partner;Dog;Neutered Male;2 years;Pit Bull/Australian Cattle Dog;Chocolate/Tan
A801634;Simba;10/15/2019 06:21:00 PM;04/06/2019;Adoption;;Cat;Neutered Male;6 months;Domestic Shorthair Mix;White/Brown Tabby
A783891;Elizabeth T;01/16/2019 11:28:00 AM;11/08/2015;Adoption;Foster;Dog;Spayed Female;3 years;Border Terrier;Black/Tan
A798215;;06/24/2019 06:06:00 PM;06/23/2017;Euthanasia;Rabies Risk;Other;Unknown;2 years;Raccoon;Brown/Black
A796941;*Carrot;08/03/2019 02:40:00 PM;04/27/2019;Adoption;Foster;Cat;Neutered Male;3 months;Domestic Shorthair;Cream Tabby
A784970;Ziggy;03/16/2019 11:31:00 AM;05/24/2018;Return to Owner;;Dog;Neutered Male;9 months;Pit Bull Mix;White/Black
A803510;Rocky;09/03/2019 11:56:00 AM;03/02/2018;Transfer;Partner;Dog;Intact Male;1 year;Yorkshire Terrier Mix;Black/Tan
A788493;;02/07/2019 01:12:00 PM;04/03/2018;Transfer;Partner;Dog;Neutered Male;10 months;Standard Poodle/Labrador Retriever;Cream
A797068;Chumley;06/15/2019 05:25:00 PM;06/08/2017;Adoption;;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Brown Tabby
A791446;Leopold;03/31/2019 01:58:00 PM;03/28/2016;Return to Owner;;Dog;Neutered Male;3 years;English Bulldog;White/Brown
A790939;;03/19/2019 01:34:00 PM;03/18/2019;Transfer;Partner;Cat;Unknown;1 day;Domestic Shorthair Mix;Black
A790255;Pantera;03/12/2019 05:37:00 PM;03/07/2017;Rto-Adopt;;Dog;Spayed Female;2 years;Miniature Schnauzer Mix;Black
A798379;;07/13/2019 12:36:00 PM;06/25/2018;Transfer;Partner;Dog;Intact Male;1 year;Chihuahua Shorthair/Rat Terrier;Tricolor
A817406;Janice;05/27/2020 12:06:00 PM;05/15/2016;Return to Owner;;Dog;Spayed Female;4 years;Labrador Retriever/Pit Bull;Tan/White
A789594;Morena;02/26/2019 07:33:00 PM;02/24/2015;Adoption;;Dog;Spayed Female;4 years;Chihuahua Longhair Mix;Brown/Black
A825041;;10/27/2020 09:48:00 AM;10/26/2019;Disposal;;Other;Unknown;1 year;Bat;Brown
A566568;Duck;02/23/2019 11:33:00 AM;02/12/2009;Adoption;;Dog;Neutered Male;10 years;Harrier Mix;Brown/Black
A827274;*Fizzle;12/30/2020 03:24:00 PM;09/02/2020;Transfer;Partner;Cat;Spayed Female;3 months;Domestic Shorthair Mix;Blue Tabby
A799811;Angel;10/22/2019 08:21:00 AM;07/12/2012;Adoption;Foster;Dog;Spayed Female;7 years;Chihuahua Shorthair;Cream
A826220;;11/22/2020 03:20:00 PM;10/29/2020;Transfer;Partner;Cat;Intact Female;3 weeks;Domestic Shorthair;Brown Tabby
A810108;;12/09/2019 05:29:00 PM;09/23/2019;Adoption;;Dog;Spayed Female;2 months;Labrador Retriever;Tricolor
A799586;;07/14/2019 05:27:00 PM;07/10/2017;Transfer;Snr;Cat;Unknown;2 years;Domestic Shorthair;Cream Tabby/White
A823496;*Rigatoni;11/03/2020 09:15:00 AM;08/17/2020;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Medium Hair;Black/White
A820871;;07/31/2020 11:36:00 AM;05/31/2020;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair;Brown Tabby
A803732;*Ginny;09/14/2019 12:03:00 PM;05/11/2019;Adoption;;Dog;Spayed Female;4 months;Boxer;Brown/White
A810461;Chance;12/23/2019 06:25:00 PM;12/14/2017;Adoption;;Dog;Neutered Male;2 years;Pit Bull;Black
A787336;*Genevieve;03/25/2019 06:19:00 PM;01/11/2017;Adoption;Foster;Dog;Spayed Female;2 years;Pit Bull Mix;Blue/White
A816306;*Jelly Bean;06/17/2020 01:23:00 PM;04/12/2020;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair;Black
A787658;*Fergus;03/11/2019 12:00:00 AM;01/17/2017;Transfer;Partner;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Black
A800445;Mini;07/22/2019 06:47:00 PM;06/05/2013;Return to Owner;;Dog;Spayed Female;6 years;Chihuahua Shorthair Mix;Tan/White
A749133;*Cowboy;08/01/2020 08:12:00 AM;04/05/2017;Adoption;Foster;Cat;Spayed Female;3 years;Domestic Shorthair Mix;White/Black
A795431;*Maggie;05/29/2019 02:25:00 PM;05/20/2011;Transfer;Partner;Dog;Intact Female;8 years;Wire Hair Fox Terrier Mix;Tricolor
A808052;*Oreo;12/03/2019 04:46:00 PM;08/19/2019;Adoption;;Cat;Spayed Female;3 months;Domestic Shorthair;Black/White
A795140;Roo;05/23/2019 05:39:00 PM;05/16/2017;Adoption;;Dog;Neutered Male;2 years;Australian Cattle Dog Mix;Blue Tick
A823494;*Macaroni;11/03/2020 09:13:00 AM;08/17/2020;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair;Brown Tabby/White
A787340;;01/11/2019 02:53:00 PM;01/11/2018;Euthanasia;Rabies Risk;Other;Unknown;1 year;Bat Mix;Brown
A810115;;12/09/2019 06:02:00 PM;09/24/2019;Adoption;;Dog;Neutered Male;2 months;Labrador Retriever;Tricolor
A811845;L.S;01/22/2020 01:53:00 PM;01/10/2005;Rto-Adopt;;Cat;Spayed Female;15 years;Domestic Shorthair Mix;Black
A796292;Duchess;06/10/2019 06:59:00 PM;05/31/2014;Return to Owner;;Dog;Spayed Female;5 years;Chihuahua Shorthair;Brown
A799980;Chikis;07/23/2019 05:24:00 PM;05/15/2013;Transfer;Partner;Dog;Spayed Female;6 years;Chihuahua Shorthair Mix;Black/White
A812889;Tutti;02/01/2020 01:23:00 PM;10/15/2019;Adoption;;Cat;Intact Female;3 months;Domestic Longhair;Black/White
A793307;;04/24/2019 04:24:00 PM;01/23/2019;Adoption;;Cat;Spayed Female;2 months;Siamese Mix;Lynx Point/White
A805212;Turtle;10/22/2019 05:19:00 PM;11/24/2018;Adoption;;Cat;Spayed Female;10 months;Domestic Shorthair;Tortie
A801848;*Kit;09/26/2019 07:07:00 PM;07/10/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair;Orange Tabby
A818385;;06/08/2020 03:29:00 PM;03/17/2020;Return to Owner;;Cat;Intact Male;2 months;Domestic Shorthair;Blue Smoke
A800657;;08/03/2019 08:36:00 AM;07/22/2019;Transfer;Partner;Dog;Unknown;1 weeks;Labrador Retriever;Tricolor
A793667;Lucas;05/03/2019 11:34:00 AM;04/28/2017;Return to Owner;;Dog;Neutered Male;2 years;Miniature Poodle Mix;White
A813293;;02/13/2020 05:24:00 PM;02/13/2014;Adoption;;Dog;Spayed Female;6 years;Beagle;White/Brown
A785672;Simba;02/09/2019 06:20:00 PM;02/07/2018;Adoption;;Dog;Neutered Male;1 year;Boxer Mix;Brown/White
A813099;;02/08/2020 10:58:00 AM;02/04/2019;Transfer;Snr;Cat;Intact Female;1 year;Domestic Medium Hair;Lynx Point
A817291;*Sunny;08/08/2020 08:43:00 AM;04/19/2020;Adoption;Foster;Cat;Spayed Female;3 months;Domestic Shorthair;Brown Tabby
